"District","Missing Race Data Flag","Population","White %","Black %","Asian %","NHPI %","AIAN %","Two or More Races %","Other %","Non-White %","White % Minus Non-White %","Race Score","Population Target Ratio"
"1",FALSE,719347,87.1619677290654,7.01302709262706,2.31696246734886,0.0360048766450684,0.244805358192917,2.34726773031652,0.879964745804181,12.8380322709346,74.3239354581308,4,99.7663763649716
"2",FALSE,720767,83.9276770440378,11.5582428163332,2.02839475170201,0.0394024698689035,0.194098786431676,1.64200081302279,0.610183318603654,16.0723229559622,67.8553540880756,3,99.963316443179
"3",FALSE,719551,94.869578389857,2.33242674945904,0.517961895682168,0.0170939933375119,0.31464065785469,1.69883719152638,0.249461122283202,5.13042161014299,89.739156779714,5,99.7946691649394
"4",FALSE,721426,74.1800267802935,18.0157077787604,2.51488025105832,0.0729111509704391,0.263505889723963,2.74414839498438,2.20881975420903,25.8199732197065,48.360053560587,2,100.054713282291
"5",FALSE,718519,75.0916816395948,16.0567779000973,4.30440948673591,0.0393865715450809,0.201108112659512,2.59798279516617,1.70865349420127,24.9083183604052,50.1833632791896,2,99.6515408827492
"6",FALSE,721762,91.3787370352,5.40385888977253,0.857484877286419,0.0326977590951034,0.194662506477204,1.71829495041302,0.414263981755759,8.62126296480002,82.7574740704,4,100.10131318812
"7",FALSE,720258,90.5456100452893,6.24192997509226,0.679062224924957,0.0231861360790161,0.223947529912892,1.8723846177342,0.413879470967348,9.45438995471068,81.0912200905786,4,99.8927231334553
"8",FALSE,723123,89.7005073825615,7.26003736570404,0.469076491827808,0.0384443587052272,0.18738167642296,1.63264064343134,0.711912081347157,10.2994926174385,79.4010147651229,4,100.290070544768
"9",FALSE,719355,64.3634922951811,28.3499801905874,1.80856461691376,0.0236322816967978,0.245775729646697,2.37518332394993,2.83337156202431,35.6365077048189,28.7269845903622,1,99.7674858865389
"10",FALSE,721033,87.585866388917,6.4117731088591,1.63529269811507,0.0203874163873221,0.233553804056125,2.39628422000103,1.71684236366435,12.414133611083,75.171732777834,4,100.000208035294
"11",FALSE,720795,71.9835736929363,23.8597659528715,2.09282805790828,0.0165095484846593,0.137209608834689,1.54829042931763,0.361822709646987,28.0164263070637,43.9671473858726,1,99.9671997686648
"12",FALSE,722804,82.9851522681114,12.1151792187094,2.07386788119601,0.0204758136368919,0.167403611490805,1.97619271614435,0.661728490711175,17.0148477318886,65.9703045362228,3,100.245828372269
"13",FALSE,720185,80.8818567451419,14.8634031533564,1.46628991161993,0.0298534404354437,0.197310413296584,1.90201128876608,0.659275047383658,19.1181432548581,61.7637134902837,3,99.8825987491531
"14",FALSE,721940,73.532288001773,20.3255118153863,2.0208050530515,0.0983461229465052,0.214976313821093,2.23287253788403,1.57520015513755,26.467711998227,47.064576003546,2,100.126000042994
"15",FALSE,721281,81.8319073980876,12.1838784052263,1.2110398027953,0.0219054709606935,0.278809506974397,2.59163904220408,1.8808203737517,18.1680926019124,63.6638147961751,3,100.034603203882
"16",FALSE,724358,92.9155196739734,3.30803276832726,0.67866993944983,0.0335469477799652,0.209012670530318,1.70412972590901,1.15108827403024,7.08448032602664,85.8310393479467,5,100.46135293673
"Ohio Total",FALSE,11536504,82.6891491564515,12.2019721052409,1.66630202702656,0.0352446460383492,0.219234527201655,2.06097965206791,1.12711788597308,17.3108508435485,65.3782983129031,3,NA
